,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
22,H2-K1,169988.981,0.17909783,0.11237076,1.593811684,0.11097822,0.249810301
23,Lgals3bp,166078.7907,-0.197936181,0.143900192,-1.375510196,0.168973327,0.341906581
24,Tmsb4x,165829.5089,-0.19556023,0.122097735,-1.601669602,0.10922869,0.246902088
25,Prdx1,164239.1143,0.799448137,0.100145994,7.982826939,1.43E-15,2.76E-14
26,Tgfbi,154430.9702,-0.605932603,0.066629607,-9.094044356,9.54E-20,2.36E-18
27,Grn,145811.3686,-0.130848345,0.059719577,-2.191046074,0.028448458,0.084346727
28,C3,142321.6954,0.250097281,0.059784361,4.183322849,2.87E-05,0.000185775
29,Cfb,138913.5941,0.435012056,0.084552809,5.144856348,2.68E-07,2.38E-06
30,Sirpa,136228.4238,-0.305529835,0.035976133,-8.492570214,2.02E-17,4.41E-16
31,Lamp1,133292.5837,0.095930904,0.082283039,1.165864864,0.243669087,0.441765346
32,Pkm,132610.3798,-0.445066778,0.05453269,-8.161467486,3.31E-16,6.64E-15
33,Actb,131376.5456,-1.067033663,0.084603705,-12.61213873,1.81E-36,9.48E-35
34,Apoe,129152.0115,-0.150427024,0.099408178,-1.513225841,0.130222303,0.282300909
35,Csf1r,127274.6372,-0.182591101,0.073096078,-2.497960279,0.012491019,0.042126829
36,Hmox1,126887.2619,0.077524625,0.075429752,1.027772495,0.304056857,0.513752153
37,Npc2,118837.4653,-0.086477133,0.065997045,-1.310318256,0.190088194,0.372205751
38,Lcp1,118808.4201,0.03026525,0.078054952,0.387742853,0.698206339,0.84171257
39,Itm2b,118514.9508,-0.558574273,0.040658302,-13.73825859,5.99E-43,3.92E-41
